data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
1734617,275,PSE3475,3475,"28 July 2018",2018,1,Riots/Protests,"Military Forces of Israel (2009-)",,8,"Rioters (Palestine)",,5,58,"Middle East",Palestine,"West Bank",Ramallah,,Kobar,31.9889,35.1591,2,"Palestine News & Information Agency (WAFA)",National,"Clashes erupted between Palestinians and Israeli forces on July 28 in and around Kobar village as Israeli forces continue to intensively raid the area. 5 Palestinians were injured by live fire.",0,1532986496,PSE
1734618,275,PSE3476,3476,"28 July 2018",2018,1,"Battle-no change of territory","Unidentified Armed Group (Palestine)",,3,"Military Forces of Israel (2009-)",,8,38,"Middle East",Palestine,"Gaza Strip","North Gaza",,"Bayt Hanun",31.5353,34.5358,2,"Arutz Sheva",National,"Shots were fired from northern Gaza at Israeli soldiers on the border on July 28. No injuries were reported.",0,1532986496,PSE
1734619,275,PSE3477,3477,"28 July 2018",2018,1,"Remote violence","Military Forces of Israel (2009-)",,8,"Hamas Movement",,3,38,"Middle East",Palestine,"Gaza Strip","North Gaza",,"Bayt Hanun",31.5353,34.5358,2,"Arutz Sheva",National,"Israeli forces targeted a Hamas observation post in the northern Gaza strip with airstrikes on July 28.",0,1532986496,PSE
1734620,275,PSE3478,3478,"28 July 2018",2018,1,Riots/Protests,"Military Forces of Israel (2009-)",,8,"Rioters (Palestine)",,5,58,"Middle East",Palestine,"West Bank",Hebron,,"Bayt Ummar",31.6233,35.1045,1,"Palestine News & Information Agency (WAFA)",National,"Three Palestinian youth on July 28 were shot and injured by Israeli soldiers during clashes that erupted as Israeli forces raided the town of Beit Ummar to the north of the southern West Bank district of Hebron.",0,1532986496,PSE
1734621,275,PSE3479,3479,"28 July 2018",2018,1,"Violence against civilians","Rioters (Israel)","Settlers (Israel)",5,"Civilians (Palestine)",,7,57,"Middle East",Palestine,"West Bank",Hebron,,Hebron,31.5294,35.0938,1,"Palestine News & Information Agency (WAFA)",National,"A group of settlers assaulted on July 28 a 60-year-old Palestinian man in the southern West Bank city of Hebron. The man said the settlers threw stones at him and his children while they were in their home. He was admitted to hospital in Hebron, where he was reported in stable condition.",0,1532986496,PSE
1734622,275,PSE3480,3480,"28 July 2018",2018,1,Riots/Protests,"Military Forces of Israel (2009-)",,8,"Rioters (Palestine)",,5,58,"Middle East",Palestine,"West Bank",Qalqilya,,"Kafr Qaddum",32.2216,35.1447,1,"Palestine News & Information Agency (WAFA)",National,"Seven Palestinians including a photographer were reportedly injured by Israeli forces during clashes in Kufr Qaddu m on July 28.",0,1532986496,PSE
1734604,275,PSE3462,3462,"27 July 2018",2018,1,Riots/Protests,"Military Forces of Israel (2009-)",,8,"Rioters (Palestine)",,5,58,"Middle East",Palestine,"Gaza Strip",Rafah,,Rafah,31.287,34.2595,2,"Agence France Presse",International,"A 14 year old was killed when shot in the head by Israeli forces during border confrontations east of Rafah on July 27. A 17 year old, also shot during demonstrations near Rafah, succumbed to his wounds on July 28.",2,1532986496,PSE
1734605,275,PSE3463,3463,"27 July 2018",2018,1,Riots/Protests,"Military Forces of Israel (2009-)",,8,"Rioters (Palestine)",,5,58,"Middle East",Palestine,"Gaza Strip","Khan Yunis",,"Khan Yunis",31.3402,34.3063,2,"Agence France Presse",International,"Israeli forces shot a middle aged man in the head killing him during border confrontations east of Khan Yunis on July 27.",1,1532986496,PSE
1734606,275,PSE3464,3464,"27 July 2018",2018,1,Riots/Protests,"Military Forces of Israel (2009-)",,8,"Rioters (Palestine)",,5,58,"Middle East",Palestine,"West Bank",Ramallah,,Kobar,31.9889,35.1591,1,"Anadolu Agency (AA)",Regional,"Following the deadly attack in Adam, Israeli forces raided the village of the attacker, Kobar, sparking clashes on July 27. Israeli forces used live ammunition and tear gas to disperse demonstrators. Israeli forces also sealed off the village.",0,1532986496,PSE
1734607,275,PSE3465,3465,"27 July 2018",2018,1,Riots/Protests,"Military Forces of Israel (2009-)",,8,"Rioters (Palestine)",,5,58,"Middle East",Palestine,"Gaza Strip","North Gaza",,Jabalya,31.5272,34.4835,1,Twitter,Subnational,"Border clashes were reported in Jabalya on July 27 with a number of demonstrators injured, many by live fire.",0,1532986496,PSE
1734608,275,PSE3466,3466,"27 July 2018",2018,1,"Violence against civilians","Settlers (Israel)",,3,"Civilians (Palestine)",,7,37,"Middle East",Palestine,"West Bank",Nablus,,Jalud,32.0668,35.3166,2,"Anadolu Agency (AA); Ma'an News Agency",Subnational-Regional,"Settlers set fire to farmlands and several houses in Khillet al Wusta area between Jalud and Qusra south of Nablus on July 27. Settlers also reportedly opened fire on Palestinians but did not cause any reported injuries.",0,1532986496,PSE
