data_id,iso,event_id_cnty,event_id_no_cnty,event_date,year,time_precision,event_type,actor1,assoc_actor_1,inter1,actor2,assoc_actor_2,inter2,interaction,region,country,admin1,admin2,admin3,location,latitude,longitude,geo_precision,source,source_scale,notes,fatalities,timestamp,iso3
1246211,275,PSE1784,1784,"07 April 2018",2018,1,"Violence against civilians","Military Forces of Israel (2009-)",,8,"Protesters (Palestine)",,6,68,"Middle East",Palestine,"Gaza Strip",Gaza,,Gaza,31.5,34.4667,2,"Palestine News & Information Agency (WAFA)",National,"On Saturday, three Palestinian demonstrators were shot and injured by Israeli forces near the border fence, east of Gaza City.",0,1523310841,PSE
1246210,275,PSE1783,1783,"07 April 2018",2018,1,Riots/Protests,"Protesters (Palestine)","Journalists (Palestine)",6,,,0,60,"Middle East",Palestine,"West Bank",Ramallah,,Ramallah,31.8996,35.2042,1,"Palestine News & Information Agency (WAFA)",National,"On Saturday, dozens of journalists protested in Manara Square in Ramallah to condemn the fatal shooting Palestinian cameraman Yasser Murtaja by Israeli forces.",0,1523310841,PSE
1246209,275,PSE1782,1782,"06 April 2018",2018,1,Riots/Protests,"Military Forces of Israel (2009-)",,8,"Rioters (Palestine)",,5,58,"Middle East",Palestine,"West Bank","Al Quds",,"Abu Dis",31.7622,35.2617,1,"Palestine News & Information Agency (WAFA)",National,"On Friday, at least 21 Palestinians were injured, one by live fire, during clashes with Israeli forces in the town of Abu Dis.",0,1523310841,PSE
1246208,275,PSE1781,1781,"06 April 2018",2018,1,Riots/Protests,"Military Forces of Israel (2009-)",,8,"Rioters (Palestine)",,5,58,"Middle East",Palestine,"West Bank",Nablus,,"Kafr Qallil",32.1935,35.2828,1,"Palestine News & Information Agency (WAFA)",National,"On Friday, at least one Palestinian was injured and others suffocated from teargas during clashes with Israeli forces in the villages of Beita and Kafr Qalil.",0,1523310841,PSE
1246207,275,PSE1780,1780,"06 April 2018",2018,1,Riots/Protests,"Military Forces of Israel (2009-)",,8,"Rioters (Palestine)",,5,58,"Middle East",Palestine,"West Bank",Ramallah,,"Bayta at Tahta",32.1387,35.2837,1,"Palestine News & Information Agency (WAFA)",National,"On Friday, at least one Palestinian was injured and others suffocated from teargas during clashes with Israeli forces in the villages of Beita and Kafr Qalil.",0,1523310841,PSE
1246206,275,PSE1779,1779,"06 April 2018",2018,1,Riots/Protests,"Military Forces of Israel (2009-)",,8,"Rioters (Palestine)",,5,58,"Middle East",Palestine,"Gaza Strip",Gaza,,Gaza,31.5,34.4667,2,"Associated Press Brief; Xinhua; Agency France Presse",International,"Thousands of Palestinians demonstrated along Gaza's eastern border on Friday. Demonstrators piled and set fire to tires to try to obscure the vision of the snipers. Israeli forces opened fire and killed 10 and wounded hundreds more.",2,1523310841,PSE
1246205,275,PSE1778,1778,"06 April 2018",2018,1,Riots/Protests,"Military Forces of Israel (2009-)",,8,"Rioters (Palestine)",,5,58,"Middle East",Palestine,"Gaza Strip",Rafah,,"Shokat as Sufi",31.2586,34.2824,2,"Associated Press Brief; Xinhua; Agency France Presse",International,"Thousands of Palestinians demonstrated along Gaza's eastern border on Friday. Demonstrators piled and set fire to tires to try to obscure the vision of the snipers. Israeli forces opened fire and killed 10 and wounded hundreds more.",2,1523310841,PSE
1246204,275,PSE1777,1777,"06 April 2018",2018,1,Riots/Protests,"Military Forces of Israel (2009-)",,8,"Rioters (Palestine)",,5,58,"Middle East",Palestine,"Gaza Strip","Khan Yunis",,Khuzaa,31.3069,34.3572,2,"Associated Press Brief; Xinhua; Agency France Presse",International,"Thousands of Palestinians demonstrated along Gaza's eastern border on Friday. Demonstrators piled and set fire to tires to try to obscure the vision of the snipers. Israeli forces opened fire and killed 10 and wounded hundreds more.",2,1523310841,PSE
1246203,275,PSE1776,1776,"06 April 2018",2018,1,Riots/Protests,"Military Forces of Israel (2009-)",,8,"Rioters (Palestine)",,5,58,"Middle East",Palestine,"Gaza Strip","Deir Al Balah",,Maghazi,31.4214,34.3865,2,"Associated Press Brief; Xinhua; Agency France Presse",International,"Thousands of Palestinians demonstrated along Gaza's eastern border on Friday. Demonstrators piled and set fire to tires to try to obscure the vision of the snipers. Israeli forces opened fire and killed 10 and wounded hundreds more.",2,1523310841,PSE
1246202,275,PSE1775,1775,"06 April 2018",2018,1,Riots/Protests,"Military Forces of Israel (2009-)",,8,"Rioters (Palestine)",,5,58,"Middle East",Palestine,"Gaza Strip","North Gaza",,"Bayt Hanun",31.5353,34.5358,2,"Associated Press Brief; Xinhua; Agency France Presse",International,"Thousands of Palestinians demonstrated along Gaza's eastern border on Friday. Demonstrators piled and set fire to tires to try to obscure the vision of the snipers. Israeli forces opened fire and killed 10 and wounded hundreds more.",2,1523310841,PSE
