Date,clicks
2015-01-02,27
2015-01-03,26
2015-01-04,15
2015-01-05,188
2015-01-06,181
2015-01-07,346
2015-01-08,231
2015-01-09,145
2015-01-10,19
2015-01-11,26
2015-01-12,127
2015-01-13,246
2015-01-14,178
2015-01-15,181
2015-01-16,154
2015-01-17,7
2015-01-18,1
2015-01-20,17
2015-01-21,312
2015-01-22,131
2015-01-23,134
2015-01-24,4
2015-01-25,35
2015-01-26,340
2015-01-27,432
2015-01-28,300
2015-01-29,377
2015-01-30,339
2015-01-31,16
2015-02-01,7
2015-02-02,187
2015-02-03,333
2015-02-04,332
2015-02-05,325
2015-02-06,323
2015-02-07,17
2015-02-08,9
2015-02-09,154
2015-02-10,153
2015-02-11,61
2015-02-12,143
2015-02-13,56
2015-02-14,10
2015-02-15,22
2015-02-16,25
2015-02-17,418
2015-02-18,404
2015-02-19,206
2015-02-20,405
2015-02-21,107
2015-02-22,76
2015-02-23,279
2015-02-24,285
2015-02-25,172
2015-02-26,391
2015-02-27,382
2015-02-28,102
2015-03-01,89
2015-03-02,386
2015-03-03,732
2015-03-04,277
2015-03-05,336
2015-03-06,338
2015-03-07,31
2015-03-08,30
2015-03-09,325
2015-03-10,604
2015-03-11,554
2015-03-12,508
2015-03-13,661
2015-03-14,95
2015-03-15,230
2015-03-16,536
2015-03-17,338
2015-03-18,584
2015-03-19,599
2015-03-20,263
2015-03-21,16
2015-03-22,76
2015-03-23,324
2015-03-24,415
2015-03-25,386
2015-03-26,490
2015-03-27,297
2015-03-28,27
2015-03-29,74
2015-03-30,292
2015-03-31,306
2015-04-01,348
2015-04-02,206
2015-04-03,123
2015-04-04,11
2015-04-05,18
2015-04-06,276
2015-04-07,212
2015-04-08,361
2015-04-09,246
2015-04-10,90
2015-04-11,14
2015-04-12,22
2015-04-13,186
2015-04-14,289
2015-04-15,204
2015-04-16,144
2015-04-17,173
2015-04-18,29
2015-04-19,16
2015-04-20,153
2015-04-21,187
2015-04-22,188
2015-04-23,184
2015-04-24,302
2015-04-25,17
2015-04-26,27
2015-04-27,364
2015-04-28,278
2015-04-29,338
2015-04-30,416
2015-05-01,182
2015-05-02,15
2015-05-03,18
2015-05-04,118
2015-05-05,208
2015-05-06,176
2015-05-07,111
2015-05-08,80
2015-05-09,18
2015-05-10,18
2015-05-11,114
2015-05-12,114
2015-05-13,100
2015-05-14,76
2015-05-15,82
2015-05-16,22
2015-05-17,15
2015-05-18,131
2015-05-19,156
2015-05-20,250
2015-05-21,201
2015-05-22,84
2015-05-23,43
2015-05-24,17
2015-05-25,25
2015-05-26,235
2015-05-27,349
2015-05-28,161
2015-05-29,130
2015-05-30,25
2015-05-31,9
2015-06-01,237
2015-06-02,258
2015-06-03,263
2015-06-04,152
2015-06-05,164
2015-06-06,9
2015-06-07,6
2015-06-08,159
2015-06-09,113
2015-06-10,189
2015-06-11,144
2015-06-12,45
2015-06-13,12
2015-06-14,38
2015-06-15,156
2015-06-16,240
2015-06-17,120
2015-06-18,330
2015-06-19,188
2015-06-20,28
2015-06-21,3
2015-06-22,376
2015-06-23,199
2015-06-24,196
2015-06-25,362
2015-06-26,199
2015-06-27,45
2015-06-28,29
2015-06-29,433
2015-06-30,299
2015-07-01,266
2015-07-02,210
2015-07-03,7
2015-07-04,26
2015-07-05,19
2015-07-06,257
2015-07-07,187
2015-07-08,172
2015-07-09,362
2015-07-10,370
2015-07-11,21
2015-07-12,46
2015-07-13,183
2015-07-14,308
2015-07-15,189
2015-07-16,368
2015-07-17,162
2015-07-18,11
2015-07-19,19
2015-07-20,209
2015-07-21,269
2015-07-22,291
2015-07-23,267
2015-07-24,321
2015-07-25,17
2015-07-26,24
2015-07-27,305
2015-07-28,380
2015-07-29,288
2015-07-30,286
2015-07-31,649
2015-08-01,8
2015-08-02,25
2015-08-03,481
2015-08-04,399
2015-08-05,402
2015-08-06,231
2015-08-07,94
2015-08-08,27
2015-08-09,90
2015-08-10,161
2015-08-11,371
2015-08-12,256
2015-08-13,247
2015-08-14,153
2015-08-15,26
2015-08-16,17
2015-08-17,242
2015-08-18,369
2015-08-19,241
2015-08-20,300
2015-08-21,387
2015-08-22,41
2015-08-23,41
2015-08-24,169
2015-08-25,276
2015-08-26,378
2015-08-27,298
2015-08-28,271
2015-08-29,112
2015-08-30,109
2015-08-31,431
2015-09-01,368
2015-09-02,344
2015-09-03,296
2015-09-04,211
2015-09-05,23
2015-09-06,20
2015-09-07,41
2015-09-08,567
2015-09-09,521
2015-09-10,393
2015-09-11,424
2015-09-12,21
2015-09-13,16
2015-09-14,221
2015-09-15,282
2015-09-16,392
2015-09-17,241
2015-09-18,171
2015-09-19,21
2015-09-20,4
2015-09-21,243
2015-09-22,325
2015-09-23,252
2015-09-24,239
2015-09-25,209
2015-09-26,17
2015-09-27,56
2015-09-28,304
2015-09-29,763
2015-09-30,432
2015-10-01,533
2015-10-02,300
2015-10-03,53
2015-10-04,24
2015-10-05,452
2015-10-06,454
2015-10-07,585
2015-10-08,411
2015-10-09,275
2015-10-10,17
2015-10-11,9
2015-10-12,193
2015-10-13,344
2015-10-14,398
2015-10-15,551
2015-10-16,217
2015-10-17,21
2015-10-18,45
2015-10-19,180
2015-10-20,501
2015-10-21,274
2015-10-22,180
2015-10-23,128
2015-10-24,66
2015-10-25,42
2015-10-26,238
2015-10-27,308
2015-10-28,533
2015-10-29,320
2015-10-30,298
2015-10-31,29
2015-11-01,59
2015-11-02,213
2015-11-03,333
2015-11-04,224
2015-11-05,192
2015-11-06,209
2015-11-07,20
2015-11-08,62
2015-11-09,323
2015-11-10,326
2015-11-11,109
2015-11-12,271
2015-11-13,200
2015-11-14,11
2015-11-15,7
2015-11-16,169
2015-11-17,291
2015-11-18,207
2015-11-19,250
2015-11-20,398
2015-11-21,118
2015-11-22,25
2015-11-23,569
2015-11-24,264
2015-11-25,255
2015-11-26,31
2015-11-27,96
2015-11-28,24
2015-11-29,24
2015-11-30,367
2015-12-01,342
2015-12-02,449
2015-12-03,451
2015-12-04,872
2015-12-05,88
2015-12-06,77
2015-12-07,556
2015-12-08,397
2015-12-09,338
2015-12-10,286
2015-12-11,211
2015-12-12,69
2015-12-13,113
2015-12-14,427
2015-12-15,300
2015-12-16,304
2015-12-17,229
2015-12-18,375
2015-12-19,25
2015-12-20,88
2015-12-21,376
2015-12-22,263
2015-12-23,423
2015-12-24,245
2015-12-25,19
2015-12-26,36
2015-12-27,22
2015-12-28,292
2015-12-29,336
2015-12-30,184
2015-12-31,64
2016-01-01,13
2016-01-02,177
2016-01-03,30
2016-01-04,440
2016-01-05,261
2016-01-06,279
2016-01-07,447
2016-01-08,373
2016-01-09,29
2016-01-10,88
2016-01-11,301
2016-01-12,295
2016-01-13,396
2016-01-14,276
2016-01-15,164
2016-01-16,49
2016-01-17,27
2016-01-18,77
2016-01-19,603
2016-01-20,440
2016-01-21,440
2016-01-22,250
2016-01-23,88
2016-01-24,45
2016-01-25,522
2016-01-26,530
2016-01-27,456
2016-01-28,360
2016-01-29,420
2016-01-30,72
2016-01-31,119
2016-02-01,395
2016-02-02,630
2016-02-03,299
2016-02-04,340
2016-02-05,237
2016-02-06,113
2016-02-07,162
2016-02-08,463
2016-02-09,447
2016-02-10,477
2016-02-11,349
2016-02-12,239
2016-02-13,105
2016-02-14,52
2016-02-15,401
2016-02-16,470
2016-02-17,411
2016-02-18,411
2016-02-19,294
2016-02-20,211
2016-02-21,228
2016-02-22,482
2016-02-23,624
2016-02-24,653
2016-02-25,564
2016-02-26,385
2016-02-27,176
2016-02-28,197
2016-02-29,429
2016-03-01,533
2016-03-02,503
2016-03-03,697
2016-03-04,420
2016-03-05,145
2016-03-06,100
2016-03-07,527
2016-03-08,578
2016-03-09,625
2016-03-10,306
2016-03-11,306
2016-03-12,82
2016-03-13,112
2016-03-14,254
2016-03-15,628
2016-03-16,723
2016-03-17,608
2016-03-18,375
2016-03-19,65
2016-03-20,131
2016-03-21,576
2016-03-22,600
2016-03-23,604
2016-03-24,443
2016-03-25,194
2016-03-26,153
2016-03-27,124
2016-03-28,262
2016-03-29,307
2016-03-30,374
2016-03-31,474
2016-04-01,356
2016-04-02,170
2016-04-03,125
2016-04-04,553
2016-04-05,633
2016-04-06,550
2016-04-07,509
2016-04-08,775
2016-04-09,105
2016-04-10,733
2016-04-11,522
2016-04-12,430
2016-04-13,530
2016-04-14,633
2016-04-15,461
2016-04-16,209
2016-04-17,681
2016-04-18,476
2016-04-19,481
2016-04-20,528
2016-04-21,309
2016-04-22,400
2016-04-23,148
2016-04-24,249
2016-04-25,526
2016-04-26,494
2016-04-27,490
2016-04-28,666
2016-04-29,401
2016-04-30,134
2016-05-01,120
2016-05-02,355
2016-05-03,840
2016-05-04,601
2016-05-05,527
2016-05-06,331
2016-05-07,297
2016-05-08,158
2016-05-09,390
2016-05-10,634
2016-05-11,469
2016-05-12,392
2016-05-13,399
2016-05-14,297
2016-05-15,188
2016-05-16,305
2016-05-17,511
2016-05-18,436
2016-05-19,283
2016-05-20,123
2016-05-21,126
2016-05-22,52
2016-05-23,386
2016-05-24,493
2016-05-25,544
2016-05-26,504
2016-05-27,177
2016-05-28,122
2016-05-29,244
2016-05-30,108
2016-05-31,468
2016-06-01,324
2016-06-02,355
2016-06-03,398
2016-06-04,200
2016-06-05,224
2016-06-06,527
2016-06-07,484
2016-06-08,489
2016-06-09,402
2016-06-10,487
2016-06-11,385
2016-06-12,112
2016-06-13,464
2016-06-14,334
2016-06-15,394
2016-06-16,364
2016-06-17,287
2016-06-18,87
2016-06-19,132
2016-06-20,376
2016-06-21,353
2016-06-22,491
2016-06-23,540
2016-06-24,293
2016-06-25,75
2016-06-26,411
2016-06-27,413
2016-06-28,505
2016-06-29,601
2016-06-30,315
2016-07-01,635
2016-07-02,584
2016-07-03,263
2016-07-04,322
2016-07-05,432
2016-07-06,600
2016-07-07,633
2016-07-08,435
2016-07-09,134
2016-07-10,164
2016-07-11,393
2016-07-12,470
2016-07-13,560
2016-07-14,534
2016-07-15,361
2016-07-16,211
2016-07-17,237
2016-07-18,465
2016-07-19,562
2016-07-20,549
2016-07-21,799
2016-07-22,575
2016-07-23,97
2016-07-24,135
2016-07-25,719
2016-07-26,753
2016-07-27,551
2016-07-28,1193
2016-07-29,546
2016-07-30,81
2016-07-31,87
2016-08-01,665
2016-08-02,648
2016-08-03,616
2016-08-04,427
2016-08-05,378
2016-08-06,387
2016-08-07,278
2016-08-08,826
2016-08-09,612
2016-08-10,730
2016-08-11,604
2016-08-12,646
2016-08-13,119
2016-08-14,374
2016-08-15,523
2016-08-16,672
2016-08-17,730
2016-08-18,442
2016-08-19,423
2016-08-20,157
2016-08-21,163
2016-08-22,607
2016-08-23,835
2016-08-24,569
2016-08-25,636
2016-08-26,425
2016-08-27,248
2016-08-28,211
2016-08-29,738
2016-08-30,937
2016-08-31,984
2016-09-01,651
2016-09-02,588
2016-09-03,169
2016-09-04,171
2016-09-05,147
2016-09-06,630
2016-09-07,961
2016-09-08,540
2016-09-09,430
2016-09-10,151
2016-09-11,120
2016-09-12,561
2016-09-13,1159
2016-09-14,835
2016-09-15,580
2016-09-16,390
2016-09-17,190
2016-09-18,121
2016-09-19,775
2016-09-20,759
2016-09-21,756
2016-09-22,497
2016-09-23,498
2016-09-24,247
2016-09-25,219
2016-09-26,630
2016-09-27,558
2016-09-28,516
2016-09-29,555
2016-09-30,551
2016-10-01,214
2016-10-02,317
2016-10-03,596
2016-10-04,1004
2016-10-05,735
2016-10-06,724
2016-10-07,659
2016-10-08,144
2016-10-09,186
2016-10-10,440
2016-10-11,823
2016-10-12,1342
2016-10-13,866
2016-10-14,601
2016-10-15,264
2016-10-16,394
2016-10-17,1097
2016-10-18,679
2016-10-19,1046
